gsm	title	tissue_class	sample_type_norm	program	gene	tissue_detection_fraction
GSM8514532	pdac4	tumor	ffpe	Tfh_like	CXCR5	0.011098354381936472
GSM8514532	pdac4	tumor	ffpe	Tfh_like	PDCD1	0.012246460007654038
GSM8514532	pdac4	tumor	ffpe	Tfh_like	ICOS	0.009567546880979716
GSM8514532	pdac4	tumor	ffpe	Tfh_like	BCL6	0.06582472254114045
GSM8514532	pdac4	tumor	ffpe	Tfh_like	IL7R	0.11442786069651742
GSM8514532	pdac4	tumor	ffpe	Tfh_like	CXCL13	0.05128205128205128
GSM8514532	pdac4	tumor	ffpe	B_cell_strict	MS4A1	0.02602372751626483
GSM8514532	pdac4	tumor	ffpe	B_cell_strict	CD79A	0.026789131266743208
GSM8514532	pdac4	tumor	ffpe	B_cell_strict	CD79B	0.03788748564867968
GSM8514532	pdac4	tumor	ffpe	B_cell_strict	CD22	0.04554152315346345
GSM8514532	pdac4	tumor	ffpe	B_cell_strict	CD37	0.06735553004209721
GSM8514532	pdac4	tumor	ffpe	Plasma_cell	MZB1	0.016456180635285114
GSM8514532	pdac4	tumor	ffpe	Plasma_cell	SDC1	0.013777267508610792
GSM8514532	pdac4	tumor	ffpe	Plasma_cell	XBP1	0.07883658629927287
GSM8514533	pdac5	tumor	ffpe	DC_core	FCER1A	0.009538461538461539
GSM8514533	pdac5	tumor	ffpe	DC_core	CLEC10A	0.05969230769230769
GSM8514533	pdac5	tumor	ffpe	DC_core	CD1C	0.006461538461538461
GSM8514533	pdac5	tumor	ffpe	DC_core	CST3	0.3563076923076923
GSM8514533	pdac5	tumor	ffpe	DC_core	HLA-DRA	0.4553846153846154
GSM8514533	pdac5	tumor	ffpe	DC_core	HLA-DPA1	0.3356923076923077
GSM8514533	pdac5	tumor	ffpe	DC_core	HLA-DPB1	0.34276923076923077
GSM8514533	pdac5	tumor	ffpe	mregDC_strict	LAMP3	0.017538461538461537
GSM8514533	pdac5	tumor	ffpe	mregDC_strict	FSCN1	0.06153846153846154
GSM8514533	pdac5	tumor	ffpe	mregDC_strict	CCR7	0.01353846153846154
GSM8514533	pdac5	tumor	ffpe	mregDC_strict	CCL19	0.10430769230769231
GSM8514533	pdac5	tumor	ffpe	mregDC_strict	CD80	0.009230769230769232
GSM8514533	pdac5	tumor	ffpe	mregDC_strict	CD86	0.015692307692307693
GSM8514533	pdac5	tumor	ffpe	Tfh_like	CD3D	0.043076923076923075
GSM8514533	pdac5	tumor	ffpe	Tfh_like	CD3E	0.044307692307692305
GSM8514533	pdac5	tumor	ffpe	Tfh_like	CD4	0.06707692307692308
