B_cell_strict_gene_coverage_fraction	B_cell_strict_genes_detected_at_1pct	B_cell_strict_genes_detected_in_tissue	B_cell_strict_genes_in_features	DC_core_gene_coverage_fraction	DC_core_genes_detected_at_1pct	DC_core_genes_detected_in_tissue	DC_core_genes_in_features	Plasma_cell_gene_coverage_fraction	Plasma_cell_genes_detected_at_1pct	Plasma_cell_genes_detected_in_tissue	Plasma_cell_genes_in_features	Tfh_like_gene_coverage_fraction	Tfh_like_genes_detected_at_1pct	Tfh_like_genes_detected_in_tissue	Tfh_like_genes_in_features	array_cols_tissue	array_rows_tissue	barcodes_present	coordinate_barcode_overlap_fraction	coordinates_present	disease state	features_present	gsm	images_present	largest_tissue_component_fraction	largest_tissue_component_spots	marker_BCL6_tissue_detection_fraction	marker_CCL19_tissue_detection_fraction	marker_CCR7_tissue_detection_fraction	marker_CD1C_tissue_detection_fraction	marker_CD22_tissue_detection_fraction	marker_CD37_tissue_detection_fraction	marker_CD3D_tissue_detection_fraction	marker_CD3E_tissue_detection_fraction	marker_CD4_tissue_detection_fraction	marker_CD79A_tissue_detection_fraction	marker_CD79B_tissue_detection_fraction	marker_CD80_tissue_detection_fraction	marker_CD86_tissue_detection_fraction	marker_CLEC10A_tissue_detection_fraction	marker_CST3_tissue_detection_fraction	marker_CXCL13_tissue_detection_fraction	marker_CXCR5_tissue_detection_fraction	marker_FCER1A_tissue_detection_fraction	marker_FSCN1_tissue_detection_fraction	marker_HLA-DPA1_tissue_detection_fraction	marker_HLA-DPB1_tissue_detection_fraction	marker_HLA-DRA_tissue_detection_fraction	marker_ICOS_tissue_detection_fraction	marker_IL7R_tissue_detection_fraction	marker_LAMP3_tissue_detection_fraction	marker_MS4A1_tissue_detection_fraction	marker_MZB1_tissue_detection_fraction	marker_PDCD1_tissue_detection_fraction	marker_SDC1_tissue_detection_fraction	marker_XBP1_tissue_detection_fraction	marker_feature_coverage_fraction	marker_tissue_detection_fraction	matrix_present	median_genes_tissue	median_umi_tissue	mregDC_strict_gene_coverage_fraction	mregDC_strict_genes_detected_at_1pct	mregDC_strict_genes_detected_in_tissue	mregDC_strict_genes_in_features	n_barcodes	n_coordinate_barcode_overlap	n_coordinate_rows	n_genes	n_requested_markers_detected_in_tissue	n_requested_markers_in_features	n_tissue_spots	nested_sample	path response	program_scoreability_candidate	q10_genes_tissue	q10_umi_tissue	q90_genes_tissue	q90_umi_tissue	sample type	sample_type_norm	spatial_enrichment_present	status	technical_candidate	tissue	tissue subtype	tissue_class	tissue_fraction	title	treatment arm	tumor_program_scoreability_candidate	tumor_replication_candidate	zero_umi_tissue_fraction
1.0	5	5	5	1.0	7	7	7	1.0	3	3	3	1.0	9	9	9	117	70	1	1.0	1	pancreatic ductal adenocarcinoma	1	GSM8514539	1	0.9996693121693122	3023	0.4348544973544973	0.6845238095238095	0.046296296296296294	0.03373015873015873	0.05489417989417989	0.49173280423280424	0.3445767195767196	0.37202380952380953	0.21693121693121692	0.11011904761904762	0.07539682539682539	0.025793650793650792	0.11342592592592593	0.3273809523809524	0.9500661375661376	0.11441798941798942	0.015542328042328041	0.06712962962962964	0.10615079365079365	0.8237433862433863	0.8429232804232805	0.9662698412698413	0.04728835978835979	0.5205026455026455	0.07771164021164022	0.06316137566137567	0.17063492063492064	0.05191798941798942	0.10416666666666667	0.7281746031746031	1.0	1.0	1	1878.0	3037.0	1.0	6	6	6	3024	3024	4992	17943	30	30	3024	GSM8514539_J1568_C8	NA	1	1182.3	1733.3	2903.100000000001	5655.9000000000015	FFPE	ffpe	1	complete	1	pancreas	Tumor	tumor	1.0	pdac11	C	1	1	0.0
1.0	5	5	5	1.0	7	7	7	1.0	3	3	3	1.0	9	9	9	111	61	1	1.0	1	pancreatic ductal adenocarcinoma	1	GSM8514540	1	0.9996165644171779	2607	0.3558282208588957	0.5463957055214724	0.1875	0.036042944785276074	0.1334355828220859	0.5157208588957055	0.2979294478527607	0.2737730061349693	0.32476993865030673	0.29179447852760737	0.15950920245398773	0.03144171779141104	0.08205521472392638	0.24961656441717792	0.9171779141104295	0.18059815950920247	0.05943251533742331	0.07707055214723926	0.3562116564417178	0.8335889570552147	0.8539110429447853	0.9302147239263804	0.03834355828220859	0.526840490797546	0.0763036809815951	0.20743865030674846	0.3696319018404908	0.04677914110429448	0.15184049079754602	0.8960889570552147	1.0	1.0	1	2234.5	4072.5	1.0	6	6	6	2608	2608	4992	17943	30	30	2608	GSM8514540_J1568_C9	R	1	1270.7	1959.0	3450.3	6996.500000000001	FFPE	ffpe	1	complete	1	pancreas	lymph node	lymph_node	1.0	pdac12	C	0	0	0.0
1.0	2	5	5	1.0	4	7	7	1.0	3	3	3	1.0	4	9	9	113	68	1	1.0	1	pancreatic ductal adenocarcinoma	1	GSM8514541	1	0.9983316649983317	2992	0.05638972305638972	0.035035035035035036	0.009342676009342675	0.004671338004671338	0.004671338004671338	0.05472138805472139	0.009676343009676344	0.01668335001668335	0.024691358024691357	0.022355689022355688	0.00667334000667334	0.000667334000667334	0.015015015015015015	0.004004004004004004	0.5545545545545546	0.004004004004004004	0.001668335001668335	0.005338672005338672	0.05005005005005005	0.23423423423423423	0.2182182182182182	0.4327660994327661	0.001001001001001001	0.044711378044711377	0.001668335001668335	0.009009009009009009	0.04104104104104104	0.002002002002002002	0.17217217217217218	0.08174841508174842	1.0	1.0	1	280.0	349.0	1.0	3	6	6	2997	2997	4992	36601	30	30	2997	GSM8514541_VI_113_1	NA	0	125.0	144.0	1138.4	2183.200000000001	Frozen	frozen	0	complete	1	pancreas	tumor	tumor	1.0	pdac13	A	0	1	0.0
1.0	1	5	5	0.7142857142857143	4	5	7	1.0	2	3	3	0.7777777777777778	2	7	9	126	52	1	1.0	1	pancreatic ductal adenocarcinoma	1	GSM8514542	1	0.9986577181208054	2232	0.09306487695749441	0.0013422818791946308	0.0	0.00044742729306487697	0.0013422818791946308	0.012527964205816556	0.0022371364653243847	0.0035794183445190158	0.010738255033557046	0.00044742729306487697	0.00044742729306487697	0.00044742729306487697	0.0044742729306487695	0.0	0.4053691275167785	0.0	0.0	0.0	0.07114093959731543	0.0894854586129754	0.046085011185682326	0.2756152125279642	0.0013422818791946308	0.009395973154362415	0.0071588366890380315	0.00044742729306487697	0.0044742729306487695	0.00044742729306487697	0.268903803131991	0.05458612975391499	1.0	0.8333333333333334	1	393.0	481.0	0.8333333333333334	1	5	6	2235	2235	4992	36601	25	30	2235	GSM8514542_VI_113_2	NA	0	111.0	121.0	1090.6000000000001	1614.2000000000003	Frozen	frozen	0	complete	1	pancreas	tumor	tumor	1.0	pdac14	B	0	1	0.0
1.0	4	5	5	1.0	7	7	7	1.0	3	3	3	1.0	5	9	9	108	49	1	1.0	1	pancreatic ductal adenocarcinoma	1	GSM8514543	1	0.9750755287009063	1291	0.0823262839879154	0.1986404833836858	0.03323262839879154	0.0188821752265861	0.009818731117824773	0.09818731117824774	0.07401812688821752	0.0702416918429003	0.07175226586102719	0.02945619335347432	0.017371601208459216	0.0022658610271903325	0.04607250755287009	0.015105740181268883	0.7537764350453172	0.0015105740181268882	0.004531722054380665	0.04305135951661632	0.15483383685800603	0.46827794561933533	0.44410876132930516	0.7348942598187311	0.005287009063444109	0.14274924471299094	0.014350453172205438	0.015105740181268883	0.03625377643504532	0.005287009063444109	0.3300604229607251	0.21450151057401812	1.0	1.0	1	991.5	1783.5	1.0	5	6	6	1324	1324	4992	36601	30	30	1324	GSM8514543_VI_113_3	NA	1	259.0	328.0	2727.1000000000004	8007.600000000001	Frozen	frozen	0	complete	1	pancreas	tumor	tumor	1.0	pdac15	C	1	1	0.0
1.0	2	5	5	1.0	4	7	7	1.0	3	3	3	1.0	5	9	9	88	53	1	1.0	1	pancreatic ductal adenocarcinoma	1	GSM8514544	1	0.998234255444379	1696	0.05885815185403178	0.13949381989405532	0.055915244261330196	0.002942907592701589	0.0011771630370806356	0.053560918187168925	0.023543260741612712	0.03001765744555621	0.04061212477928193	0.01883460859329017	0.00529723366686286	0.002354326074161271	0.03708063566804003	0.0005885815185403178	0.2672160094173043	0.0005885815185403178	0.0017657445556209534	0.002354326074161271	0.02766333137139494	0.1918775750441436	0.16009417304296644	0.4714537963507946	0.007651559741024131	0.13419658622719247	0.015891701000588582	0.00824014125956445	0.030606238964096526	0.00529723366686286	0.022954679223072396	0.04473219540906415	1.0	1.0	1	212.0	248.0	1.0	5	6	6	1699	1699	4992	36601	30	30	1699	GSM8514544_VI_113_4	NA	1	55.80000000000001	59.0	724.6000000000001	1064.2000000000007	Frozen	frozen	0	complete	1	pancreas	tumor	tumor	1.0	pdac16	B	1	1	0.0
																		0		1	pancreatic ductal adenocarcinoma	1	GSM8514545	1																																			0														GSM8514545_VI_114_1	NA						Frozen	frozen	0	incomplete		pancreas	lymph node	lymph_node		pdac17	A			
1.0	5	5	5	1.0	7	7	7	1.0	3	3	3	1.0	9	9	9	115	44	1	1.0	1	pancreatic ductal adenocarcinoma	1	GSM8514546	1	0.9988186650915535	1691	0.20200826934435911	0.5121086828115771	0.12108682811577082	0.03721204961606615	0.03898405197873597	0.3006497341996456	0.11340815121086828	0.12876550502067335	0.13171884229178973	0.2965150620200827	0.14116952155936208	0.010632014176018901	0.11222681630242173	0.03071470761961016	0.8913171884229178	0.07855877141169522	0.034258712344949795	0.04666272888363851	0.37920850561134084	0.6391021854695806	0.6869462492616657	0.9320732427643237	0.0318960425280567	0.27406969875959836	0.0383933845245127	0.1772002362669817	0.23626698168930893	0.027170702894270527	0.47430596574128764	0.35853514471352627	1.0	1.0	1	1415.0	2468.0	1.0	6	6	6	1693	1693	4992	36601	30	30	1693	GSM8514546_VI_114_2	NA	1	609.6	835.2	3811.3999999999996	10733.0	Frozen	frozen	0	complete	1	pancreas	tumor	tumor	1.0	pdac18	B	1	1	0.0
1.0	5	5	5	1.0	7	7	7	1.0	3	3	3	1.0	6	9	9	126	71	1	1.0	1	pancreatic ductal adenocarcinoma	1	GSM8514547	1	0.985594237695078	2463	0.13845538215286116	0.37254901960784315	0.0740296118447379	0.040016006402561026	0.012805122048819529	0.15606242496998798	0.1056422569027611	0.11404561824729892	0.11564625850340136	0.062424969987995196	0.04361744697879152	0.007202881152460984	0.06082432973189276	0.037615046018407365	0.8167266906762705	0.006802721088435374	0.0024009603841536613	0.05402160864345738	0.12805122048819528	0.553421368547419	0.550220088035214	0.7859143657462985	0.01520608243297319	0.2148859543817527	0.040016006402561026	0.028411364545818326	0.09843937575030012	0.008003201280512205	0.09963985594237695	0.2424969987995198	1.0	1.0	1	745.0	1175.0	1.0	5	6	6	2499	2499	4992	36601	30	30	2499	GSM8514547_VI_114_3	NA	1	359.0	486.0	1843.400000000002	4108.0	Frozen	frozen	0	complete	1	pancreas	tumor	tumor	1.0	pdac19	C	1	1	0.0
1.0	2	5	5	1.0	4	7	7	1.0	3	3	3	1.0	5	9	9	128	65	1	1.0	1	pancreatic ductal adenocarcinoma	1	GSM8514548	1	0.9938650306748467	3402	0.06748466257668712	0.08968740870581361	0.010809231668127374	0.005550686532281624	0.004674262342973999	0.03593339176161262	0.013146362839614373	0.022202746129126497	0.03242769500438212	0.014899211218229623	0.009348524685947998	0.0023371311714869996	0.013438504236050247	0.0058428279287175	0.5223488168273445	0.001460706982179375	0.0008764241893076249	0.004674262342973999	0.09319310546304412	0.2182296231375986	0.1831726555652936	0.5106631609699095	0.004966403739409875	0.03710195734735612	0.007303534910896874	0.004966403739409875	0.035056967572304996	0.0005842827928717499	0.28659070990359337	0.08384458077709611	1.0	1.0	1	377.0	478.0	1.0	4	6	6	3423	3423	4992	36601	30	30	3423	GSM8514548_VI_114_4	NA	1	192.0	222.20000000000005	1157.8000000000002	1989.0	Frozen	frozen	0	complete	1	pancreas	tumor	tumor	1.0	pdac20	A	1	1	0.0
