cohort	sample	unit	spots	dc_enriched_spots	primary_mregDC_Tfh_local_r	mregDC_Tfh_after_nonoverlap_broad_T_adjustment_r	mregDC_no_CCL19_Tfh_local_r	mregDC_broad_T_nonoverlap_competitive_r	mregDC_non_Tfh_CD4_nonoverlap_competitive_r	mregDC_Treg_nonoverlap_competitive_r	mregDC_exhausted_CD8_nonoverlap_competitive_r	mregDC_cDC_nonoverlap_competitive_r	mregDC_macrophage_nonoverlap_competitive_r	joint_model_Tfh_standardized_beta	graph_null_p	graph_null_median_r	outcome_moran	surrogate_moran_median	surrogate_moran_abs_delta_median	block_null_eligible	gsm	stratum	analysis_set
GSE277116	pdac15	GSM8514543	1324	707	0.6186050420261737	0.5173849837685132	0.3338353272522802	0.6716622286214433	0.5923872338043378	0.3157600398599721	0.43165350675299535	0.1796930362533023	0.18392589379434732	0.21689760252343562	0.005	-0.008363568242953326	0.16546853654407795	0.16546976046064105	2.655989477448606e-05	1	GSM8514543	frozen	main_18
GSE277116	pdac16	GSM8514544	1699	634	0.5994190460438923	0.5214047158310338	0.5389381861408995	0.5939501977915826	0.5856214484662818	0.2656950166553027	0.28761880756228675	0.23709696953863113	-0.2572172754646663	0.30611459628494636	0.005	-0.006617976712856712	0.1500635411768328	0.15005910896402513	1.9133392088754864e-05	1	GSM8514544	frozen	main_18
GSE277116	pdac18	GSM8514546	1693	773	0.38371117595835164	0.3390247436791087	0.15863338371142505	0.36644621836913066	0.5130045150750099	0.2702063826666241	0.1455817888484834	0.15144253935884755	0.024190706302783607	0.12130382923393779	0.005	0.008660147014392052	0.07358848923210783	0.07358771903522165	1.4254970475746642e-05	1	GSM8514546	frozen	main_18
GSE277116	pdac19	GSM8514547	2499	1256	0.4829276475671366	0.3859964934685603	0.4158351690636409	0.5277803041768839	0.5094789483586352	0.390693107449931	0.10847914024014128	0.10223412634145629	0.066937768863697	0.19307721344755818	0.005	0.010120058806620511	0.10339533577149168	0.10339198999369632	1.726386037456673e-05	1	GSM8514547	frozen	main_18
GSE277116	pdac20	GSM8514548	3423	1766	0.44914598262231564	0.37780200646043705	0.31715935401914297	0.48539013859460567	0.4351060656172377	0.33877460388889097	0.07155295970543012	0.10464727885556044	0.0077211607731235065	0.21730292326319398	0.005	-0.001291533346134313	0.057074410056766764	0.057071267678262004	1.1934193959214912e-05	1	GSM8514548	frozen	main_18
GSE277116	pdac21	GSM8514549	2467	1198	0.11467957213995006	0.08961430371001605	0.04459049391171692	0.24297902341606367	0.09754951730392912	0.20476288153282754	0.15536674046358237	-0.04646456581741172	0.01801649673572292	-0.007539601188814346	0.025	-0.0021679285538401104	0.031828471641357464	0.03182874049646285	2.3351410742555867e-05	1	GSM8514549	frozen	sensitivity_low_detection_frozen
GSE277116	pdac22	GSM8514550	1458	701	0.5091952747484702	0.4306144870649798	0.5184323637636253	0.4998932968294069	0.4944346697657084	0.19480623966314298	0.46570332358102806	0.011943689004176332	0.2652307310727583	0.17920653311628018	0.005	0.0006265983421261351	0.13721183774123638	0.1372129196385835	2.0285004858955347e-05	1	GSM8514550	frozen	main_18
GSE277116	pdac23	GSM8514551	2973	1463	0.010216999494317643	0.00846507139335227	0.006547534306753955	0.02994111371361193	0.08906590530270074	0.050578485776958074	0.024848718630120576	0.0980752291492777	0.010045784613355256	-0.0012139547204138013	0.765	-0.0015762398656363995	0.015247641574149089	0.015248541047166187	1.0495135867006136e-05	1	GSM8514551	frozen	main_18
GSE277116	pdac24	GSM8514552	1938	1036	0.24437518657000915	0.2177098246963431	0.14743865571405387	0.3362448298484894	0.2565486687923611	0.19152357414824622	-0.0430764845580118	0.08948506229799959	0.054002347402012804	0.12350919417503696	0.005	-0.0009319820193137569	0.019603828830911045	0.019604719365077964	1.0430779861646255e-05	1	GSM8514552	frozen	main_18
GSE277116	pdac25	GSM8514553	1450	724	0.4073138539341038	0.3204318689271874	0.20537706143633697	0.47942198235148065	0.44519183186733524	0.3385114931336666	0.12924516950764633	0.07990904865527124	-0.022100070230110493	0.10502858335358996	0.005	-0.00383807759522171	0.13415909368606854	0.13415752934091396	2.1058288033587447e-05	1	GSM8514553	frozen	main_18
