cohort	sample	program	program_genes	n_program_genes	n_genes_available	gene_coverage	spot_nonzero_fraction	score_zero_fraction
GSE278687	GSM8552948_PA08	broad_T_nonoverlap	TRAC;TRBC1;TRBC2;CD247;LCK;CD2;CD7	7	7	1.0	0.11841613746731416	0.8815838625326858
GSE278687	GSM8552948_PA08	non_Tfh_CD4_nonoverlap	LTB;LEF1;TCF7;SELL;MAL	5	5	1.0	0.1057153530070975	0.8942846469929026
GSE278687	GSM8552948_PA08	Treg_nonoverlap	FOXP3;IL2RA;CTLA4;TIGIT;IKZF2;TNFRSF4	6	6	1.0	0.08741128128502054	0.9125887187149795
GSE278687	GSM8552948_PA08	exhausted_CD8_nonoverlap	CD8A;CD8B;LAG3;HAVCR2;ENTPD1;LAYN	6	6	1.0	0.15278296600672395	0.8472170339932761
GSE278687	GSM8552948_PA08	cDC_nonoverlap	CLEC10A;CD1C;FCER1A;CD1E	4	4	1.0	0.010459469555472544	0.9895405304445275
GSE278687	GSM8552948_PA08	macrophage_nonoverlap	C1QA;C1QB;C1QC;APOC1;GPNMB;SPP1	6	6	1.0	0.7710123272319761	0.2289876727680239
GSE278687	GSM8552949_PA11-1	DC_core	FCER1A;CLEC10A;CD1C;CST3;HLA-DRA;HLA-DPA1;HLA-DPB1	7	7	1.0	0.9150219298245614	0.0849780701754386
GSE278687	GSM8552949_PA11-1	mregDC_like	LAMP3;FSCN1;CCR7;CCL19;CD80;CD86	6	6	1.0	0.4342105263157895	0.5657894736842105
GSE278687	GSM8552949_PA11-1	Tfh_like	CD3D;CD3E;CD4;CXCR5;PDCD1;ICOS;BCL6;IL7R;CXCL13	9	9	1.0	0.3168859649122807	0.6831140350877193
GSE278687	GSM8552949_PA11-1	broad_T_nonoverlap	TRAC;TRBC1;TRBC2;CD247;LCK;CD2;CD7	7	7	1.0	0.29989035087719296	0.700109649122807
GSE278687	GSM8552949_PA11-1	non_Tfh_CD4_nonoverlap	LTB;LEF1;TCF7;SELL;MAL	5	5	1.0	0.24835526315789475	0.7516447368421053
GSE278687	GSM8552949_PA11-1	Treg_nonoverlap	FOXP3;IL2RA;CTLA4;TIGIT;IKZF2;TNFRSF4	6	6	1.0	0.13760964912280702	0.862390350877193
GSE278687	GSM8552949_PA11-1	exhausted_CD8_nonoverlap	CD8A;CD8B;LAG3;HAVCR2;ENTPD1;LAYN	6	6	1.0	0.29276315789473684	0.7072368421052632
GSE278687	GSM8552949_PA11-1	cDC_nonoverlap	CLEC10A;CD1C;FCER1A;CD1E	4	4	1.0	0.006578947368421052	0.993421052631579
GSE278687	GSM8552949_PA11-1	macrophage_nonoverlap	C1QA;C1QB;C1QC;APOC1;GPNMB;SPP1	6	6	1.0	0.9429824561403509	0.05701754385964912
GSE278687	GSM8552950_PA11-2	DC_core	FCER1A;CLEC10A;CD1C;CST3;HLA-DRA;HLA-DPA1;HLA-DPB1	7	4	0.5714285714285714	0.9987975951903808	0.0012024048096192384
GSE278687	GSM8552950_PA11-2	mregDC_like	LAMP3;FSCN1;CCR7;CCL19;CD80;CD86	6	6	1.0	0.9270541082164329	0.07294589178356714
GSE278687	GSM8552950_PA11-2	Tfh_like	CD3D;CD3E;CD4;CXCR5;PDCD1;ICOS;BCL6;IL7R;CXCL13	9	9	1.0	0.98937875751503	0.01062124248496994
GSE278687	GSM8552950_PA11-2	broad_T_nonoverlap	TRAC;TRBC1;TRBC2;CD247;LCK;CD2;CD7	7	7	1.0	0.9384769539078156	0.06152304609218437
GSE278687	GSM8552950_PA11-2	non_Tfh_CD4_nonoverlap	LTB;LEF1;TCF7;SELL;MAL	5	5	1.0	0.8877755511022044	0.11222444889779559
GSE278687	GSM8552950_PA11-2	Treg_nonoverlap	FOXP3;IL2RA;CTLA4;TIGIT;IKZF2;TNFRSF4	6	6	1.0	0.776753507014028	0.22324649298597193
GSE278687	GSM8552950_PA11-2	exhausted_CD8_nonoverlap	CD8A;CD8B;LAG3;HAVCR2;ENTPD1;LAYN	6	5	0.8333333333333334	0.9573146292585171	0.042685370741482966
GSE278687	GSM8552950_PA11-2	cDC_nonoverlap	CLEC10A;CD1C;FCER1A;CD1E	4	4	1.0	0.45250501002004007	0.5474949899799599
GSE278687	GSM8552950_PA11-2	macrophage_nonoverlap	C1QA;C1QB;C1QC;APOC1;GPNMB;SPP1	6	6	1.0	0.9997995991983968	0.0002004008016032064
GSE278687	GSM8552951_PA12	DC_core	FCER1A;CLEC10A;CD1C;CST3;HLA-DRA;HLA-DPA1;HLA-DPB1	7	4	0.5714285714285714	0.9075180226570546	0.09248197734294542
GSE278687	GSM8552951_PA12	mregDC_like	LAMP3;FSCN1;CCR7;CCL19;CD80;CD86	6	6	1.0	0.647167868177137	0.35283213182286305
GSE278687	GSM8552951_PA12	Tfh_like	CD3D;CD3E;CD4;CXCR5;PDCD1;ICOS;BCL6;IL7R;CXCL13	9	9	1.0	0.8543769309989702	0.14562306900102986
GSE278687	GSM8552951_PA12	broad_T_nonoverlap	TRAC;TRBC1;TRBC2;CD247;LCK;CD2;CD7	7	7	1.0	0.8243048403707518	0.1756951596292482
GSE278687	GSM8552951_PA12	non_Tfh_CD4_nonoverlap	LTB;LEF1;TCF7;SELL;MAL	5	5	1.0	0.6216271884654995	0.37837281153450053
GSE278687	GSM8552951_PA12	Treg_nonoverlap	FOXP3;IL2RA;CTLA4;TIGIT;IKZF2;TNFRSF4	6	6	1.0	0.3831101956745623	0.6168898043254377
GSE278687	GSM8552951_PA12	exhausted_CD8_nonoverlap	CD8A;CD8B;LAG3;HAVCR2;ENTPD1;LAYN	6	5	0.8333333333333334	0.6830072090628219	0.3169927909371782
GSE278687	GSM8552951_PA12	cDC_nonoverlap	CLEC10A;CD1C;FCER1A;CD1E	4	4	1.0	0.4164778578784758	0.5835221421215242
GSE278687	GSM8552951_PA12	macrophage_nonoverlap	C1QA;C1QB;C1QC;APOC1;GPNMB;SPP1	6	6	1.0	0.9695159629248198	0.030484037075180225
GSE278687	GSM8552952_PA21	DC_core	FCER1A;CLEC10A;CD1C;CST3;HLA-DRA;HLA-DPA1;HLA-DPB1	7	4	0.5714285714285714	0.9824277456647399	0.017572254335260117
GSE278687	GSM8552952_PA21	mregDC_like	LAMP3;FSCN1;CCR7;CCL19;CD80;CD86	6	6	1.0	0.8621965317919075	0.13780346820809247
GSE278687	GSM8552952_PA21	Tfh_like	CD3D;CD3E;CD4;CXCR5;PDCD1;ICOS;BCL6;IL7R;CXCL13	9	9	1.0	0.9371098265895954	0.06289017341040462
GSE278687	GSM8552952_PA21	broad_T_nonoverlap	TRAC;TRBC1;TRBC2;CD247;LCK;CD2;CD7	7	7	1.0	0.7743352601156069	0.22566473988439306
GSE278687	GSM8552952_PA21	non_Tfh_CD4_nonoverlap	LTB;LEF1;TCF7;SELL;MAL	5	5	1.0	0.7715606936416185	0.2284393063583815
GSE278687	GSM8552952_PA21	Treg_nonoverlap	FOXP3;IL2RA;CTLA4;TIGIT;IKZF2;TNFRSF4	6	6	1.0	0.6661271676300577	0.3338728323699422
GSE278687	GSM8552952_PA21	exhausted_CD8_nonoverlap	CD8A;CD8B;LAG3;HAVCR2;ENTPD1;LAYN	6	5	0.8333333333333334	0.8573410404624278	0.14265895953757227
GSE278687	GSM8552952_PA21	cDC_nonoverlap	CLEC10A;CD1C;FCER1A;CD1E	4	4	1.0	0.2628901734104046	0.7371098265895953
GSE278687	GSM8552952_PA21	macrophage_nonoverlap	C1QA;C1QB;C1QC;APOC1;GPNMB;SPP1	6	6	1.0	0.9995375722543353	0.00046242774566473987
GSE278687	GSM8552953_PA22	DC_core	FCER1A;CLEC10A;CD1C;CST3;HLA-DRA;HLA-DPA1;HLA-DPB1	7	4	0.5714285714285714	0.996760758907913	0.003239241092086997
GSE278687	GSM8552953_PA22	mregDC_like	LAMP3;FSCN1;CCR7;CCL19;CD80;CD86	6	6	1.0	0.7232762609902823	0.27672373900971775
GSE278687	GSM8552953_PA22	Tfh_like	CD3D;CD3E;CD4;CXCR5;PDCD1;ICOS;BCL6;IL7R;CXCL13	9	9	1.0	0.9268857010643221	0.07311429893567793
GSE278687	GSM8552953_PA22	broad_T_nonoverlap	TRAC;TRBC1;TRBC2;CD247;LCK;CD2;CD7	7	7	1.0	0.9153169828782971	0.08468301712170291
GSE278687	GSM8552953_PA22	non_Tfh_CD4_nonoverlap	LTB;LEF1;TCF7;SELL;MAL	5	5	1.0	0.6274872744099954	0.37251272559000465
GSE278687	GSM8552953_PA22	Treg_nonoverlap	FOXP3;IL2RA;CTLA4;TIGIT;IKZF2;TNFRSF4	6	6	1.0	0.4204072188801481	0.5795927811198519
GSE278687	GSM8552953_PA22	exhausted_CD8_nonoverlap	CD8A;CD8B;LAG3;HAVCR2;ENTPD1;LAYN	6	5	0.8333333333333334	0.8528459046737622	0.14715409532623785
GSE278687	GSM8552953_PA22	cDC_nonoverlap	CLEC10A;CD1C;FCER1A;CD1E	4	4	1.0	0.6094400740397964	0.3905599259602036
GSE278687	GSM8552953_PA22	macrophage_nonoverlap	C1QA;C1QB;C1QC;APOC1;GPNMB;SPP1	6	6	1.0	0.99537251272559	0.004627487274409995
GSE278687	GSM8552954_PA24	DC_core	FCER1A;CLEC10A;CD1C;CST3;HLA-DRA;HLA-DPA1;HLA-DPB1	7	4	0.5714285714285714	0.9070410550946607	0.09295894490533929
GSE278687	GSM8552954_PA24	mregDC_like	LAMP3;FSCN1;CCR7;CCL19;CD80;CD86	6	6	1.0	0.5232929164007658	0.4767070835992342
GSE278687	GSM8552954_PA24	Tfh_like	CD3D;CD3E;CD4;CXCR5;PDCD1;ICOS;BCL6;IL7R;CXCL13	9	9	1.0	0.6504998936396511	0.34950010636034884
GSE278687	GSM8552954_PA24	broad_T_nonoverlap	TRAC;TRBC1;TRBC2;CD247;LCK;CD2;CD7	7	7	1.0	0.6828334396936822	0.3171665603063178
GSE278687	GSM8552954_PA24	non_Tfh_CD4_nonoverlap	LTB;LEF1;TCF7;SELL;MAL	5	5	1.0	0.400765794511806	0.599234205488194
GSE278687	GSM8552954_PA24	Treg_nonoverlap	FOXP3;IL2RA;CTLA4;TIGIT;IKZF2;TNFRSF4	6	6	1.0	0.29419272495213783	0.7058072750478621
GSE278687	GSM8552954_PA24	exhausted_CD8_nonoverlap	CD8A;CD8B;LAG3;HAVCR2;ENTPD1;LAYN	6	5	0.8333333333333334	0.5118059987236758	0.4881940012763242
GSE278687	GSM8552954_PA24	cDC_nonoverlap	CLEC10A;CD1C;FCER1A;CD1E	4	4	1.0	0.30185067007019784	0.6981493299298022
GSE278687	GSM8552954_PA24	macrophage_nonoverlap	C1QA;C1QB;C1QC;APOC1;GPNMB;SPP1	6	6	1.0	0.9291640076579452	0.07083599234205488
GSE278687	GSM8552955_PA29	DC_core	FCER1A;CLEC10A;CD1C;CST3;HLA-DRA;HLA-DPA1;HLA-DPB1	7	4	0.5714285714285714	0.9467147435897436	0.05328525641025641
GSE278687	GSM8552955_PA29	mregDC_like	LAMP3;FSCN1;CCR7;CCL19;CD80;CD86	6	6	1.0	0.7347756410256411	0.265224358974359
GSE278687	GSM8552955_PA29	Tfh_like	CD3D;CD3E;CD4;CXCR5;PDCD1;ICOS;BCL6;IL7R;CXCL13	9	9	1.0	0.8313301282051282	0.1686698717948718
GSE278687	GSM8552955_PA29	broad_T_nonoverlap	TRAC;TRBC1;TRBC2;CD247;LCK;CD2;CD7	7	7	1.0	0.8283253205128205	0.1716746794871795
GSE278687	GSM8552955_PA29	non_Tfh_CD4_nonoverlap	LTB;LEF1;TCF7;SELL;MAL	5	5	1.0	0.7131410256410257	0.28685897435897434
GSE278687	GSM8552955_PA29	Treg_nonoverlap	FOXP3;IL2RA;CTLA4;TIGIT;IKZF2;TNFRSF4	6	6	1.0	0.46534455128205127	0.5346554487179487
GSE278687	GSM8552955_PA29	exhausted_CD8_nonoverlap	CD8A;CD8B;LAG3;HAVCR2;ENTPD1;LAYN	6	5	0.8333333333333334	0.7369791666666666	0.2630208333333333
GSE278687	GSM8552955_PA29	cDC_nonoverlap	CLEC10A;CD1C;FCER1A;CD1E	4	4	1.0	0.37880608974358976	0.6211939102564102
GSE278687	GSM8552955_PA29	macrophage_nonoverlap	C1QA;C1QB;C1QC;APOC1;GPNMB;SPP1	6	6	1.0	0.9419070512820513	0.05809294871794872
GSE278687	GSM8552956_PA40	DC_core	FCER1A;CLEC10A;CD1C;CST3;HLA-DRA;HLA-DPA1;HLA-DPB1	7	4	0.5714285714285714	0.9946402803545661	0.005359719645433931
GSE278687	GSM8552956_PA40	mregDC_like	LAMP3;FSCN1;CCR7;CCL19;CD80;CD86	6	6	1.0	0.6128633271490415	0.38713667285095854
GSE278687	GSM8552956_PA40	Tfh_like	CD3D;CD3E;CD4;CXCR5;PDCD1;ICOS;BCL6;IL7R;CXCL13	9	9	1.0	0.7730364873222016	0.22696351267779838
GSE278687	GSM8552956_PA40	broad_T_nonoverlap	TRAC;TRBC1;TRBC2;CD247;LCK;CD2;CD7	7	7	1.0	0.6058544629973202	0.39414553700267985
GSE278687	GSM8552956_PA40	non_Tfh_CD4_nonoverlap	LTB;LEF1;TCF7;SELL;MAL	5	5	1.0	0.6586270871985158	0.34137291280148424
GSE278687	GSM8552956_PA40	Treg_nonoverlap	FOXP3;IL2RA;CTLA4;TIGIT;IKZF2;TNFRSF4	6	6	1.0	0.39290867862296436	0.6070913213770357
GSE278687	GSM8552956_PA40	exhausted_CD8_nonoverlap	CD8A;CD8B;LAG3;HAVCR2;ENTPD1;LAYN	6	5	0.8333333333333334	0.7837559266130695	0.21624407338693052
GSE278687	GSM8552956_PA40	cDC_nonoverlap	CLEC10A;CD1C;FCER1A;CD1E	4	4	1.0	0.3508554937126366	0.6491445062873634
GSE278687	GSM8552956_PA40	macrophage_nonoverlap	C1QA;C1QB;C1QC;APOC1;GPNMB;SPP1	6	6	1.0	0.9824778396206968	0.017522160379303237
GSE278687	GSM8552957_PA47	DC_core	FCER1A;CLEC10A;CD1C;CST3;HLA-DRA;HLA-DPA1;HLA-DPB1	7	4	0.5714285714285714	0.7624626121635095	0.23753738783649053
GSE278687	GSM8552957_PA47	mregDC_like	LAMP3;FSCN1;CCR7;CCL19;CD80;CD86	6	6	1.0	0.5436191425722832	0.45638085742771684
