cohort	sample	program	program_genes	n_program_genes	n_genes_available	gene_coverage	spot_nonzero_fraction	score_zero_fraction
GSE277116	pdac23	cDC_nonoverlap	CLEC10A;CD1C;FCER1A;CD1E	4	4	1.0	0.04137235116044399	0.958627648839556
GSE277116	pdac23	macrophage_nonoverlap	C1QA;C1QB;C1QC;APOC1;GPNMB;SPP1	6	6	1.0	0.9889001009081736	0.011099899091826439
GSE277116	pdac24	DC_core	FCER1A;CLEC10A;CD1C;CST3;HLA-DRA;HLA-DPA1;HLA-DPB1	7	7	1.0	0.9643962848297214	0.03560371517027864
GSE277116	pdac24	mregDC_like	LAMP3;FSCN1;CCR7;CCL19;CD80;CD86	6	6	1.0	0.41847265221878227	0.5815273477812177
GSE277116	pdac24	Tfh_like	CD3D;CD3E;CD4;CXCR5;PDCD1;ICOS;BCL6;IL7R;CXCL13	9	9	1.0	0.4850361197110423	0.5149638802889577
GSE277116	pdac24	broad_T_nonoverlap	TRAC;TRBC1;TRBC2;CD247;LCK;CD2;CD7	7	7	1.0	0.48348813209494323	0.5165118679050568
GSE277116	pdac24	non_Tfh_CD4_nonoverlap	LTB;LEF1;TCF7;SELL;MAL	5	5	1.0	0.23323013415892674	0.7667698658410733
GSE277116	pdac24	Treg_nonoverlap	FOXP3;IL2RA;CTLA4;TIGIT;IKZF2;TNFRSF4	6	6	1.0	0.14035087719298245	0.8596491228070176
GSE277116	pdac24	exhausted_CD8_nonoverlap	CD8A;CD8B;LAG3;HAVCR2;ENTPD1;LAYN	6	6	1.0	0.19814241486068113	0.8018575851393189
GSE277116	pdac24	cDC_nonoverlap	CLEC10A;CD1C;FCER1A;CD1E	4	4	1.0	0.032507739938080496	0.9674922600619195
GSE277116	pdac24	macrophage_nonoverlap	C1QA;C1QB;C1QC;APOC1;GPNMB;SPP1	6	6	1.0	0.9478844169246646	0.0521155830753354
GSE277116	pdac25	DC_core	FCER1A;CLEC10A;CD1C;CST3;HLA-DRA;HLA-DPA1;HLA-DPB1	7	7	1.0	0.9979310344827587	0.0020689655172413794
GSE277116	pdac25	mregDC_like	LAMP3;FSCN1;CCR7;CCL19;CD80;CD86	6	6	1.0	0.7979310344827586	0.20206896551724138
GSE277116	pdac25	Tfh_like	CD3D;CD3E;CD4;CXCR5;PDCD1;ICOS;BCL6;IL7R;CXCL13	9	9	1.0	0.8462068965517241	0.15379310344827588
GSE277116	pdac25	broad_T_nonoverlap	TRAC;TRBC1;TRBC2;CD247;LCK;CD2;CD7	7	7	1.0	0.9213793103448276	0.07862068965517241
GSE277116	pdac25	non_Tfh_CD4_nonoverlap	LTB;LEF1;TCF7;SELL;MAL	5	5	1.0	0.7820689655172414	0.21793103448275863
GSE277116	pdac25	Treg_nonoverlap	FOXP3;IL2RA;CTLA4;TIGIT;IKZF2;TNFRSF4	6	6	1.0	0.4786206896551724	0.5213793103448275
GSE277116	pdac25	exhausted_CD8_nonoverlap	CD8A;CD8B;LAG3;HAVCR2;ENTPD1;LAYN	6	6	1.0	0.5337931034482759	0.46620689655172415
GSE277116	pdac25	cDC_nonoverlap	CLEC10A;CD1C;FCER1A;CD1E	4	4	1.0	0.20482758620689656	0.7951724137931034
GSE277116	pdac25	macrophage_nonoverlap	C1QA;C1QB;C1QC;APOC1;GPNMB;SPP1	6	6	1.0	0.976551724137931	0.023448275862068966
GSE277116	pdac27	DC_core	FCER1A;CLEC10A;CD1C;CST3;HLA-DRA;HLA-DPA1;HLA-DPB1	7	7	1.0	0.9530916844349681	0.046908315565031986
GSE277116	pdac27	mregDC_like	LAMP3;FSCN1;CCR7;CCL19;CD80;CD86	6	6	1.0	0.44171997157071785	0.5582800284292821
GSE277116	pdac27	Tfh_like	CD3D;CD3E;CD4;CXCR5;PDCD1;ICOS;BCL6;IL7R;CXCL13	9	9	1.0	0.31058990760483296	0.689410092395167
GSE277116	pdac27	broad_T_nonoverlap	TRAC;TRBC1;TRBC2;CD247;LCK;CD2;CD7	7	7	1.0	0.5412224591329069	0.4587775408670931
GSE277116	pdac27	non_Tfh_CD4_nonoverlap	LTB;LEF1;TCF7;SELL;MAL	5	5	1.0	0.22032693674484718	0.7796730632551528
GSE277116	pdac27	Treg_nonoverlap	FOXP3;IL2RA;CTLA4;TIGIT;IKZF2;TNFRSF4	6	6	1.0	0.13717128642501777	0.8628287135749823
GSE277116	pdac27	exhausted_CD8_nonoverlap	CD8A;CD8B;LAG3;HAVCR2;ENTPD1;LAYN	6	6	1.0	0.18052594171997158	0.8194740582800284
GSE277116	pdac27	cDC_nonoverlap	CLEC10A;CD1C;FCER1A;CD1E	4	4	1.0	0.04193319118692253	0.9580668088130775
GSE277116	pdac27	macrophage_nonoverlap	C1QA;C1QB;C1QC;APOC1;GPNMB;SPP1	6	6	1.0	0.7359630419331912	0.2640369580668088
