cohort	analysis_unit	k	mregDC_residualization	mask_definition	n_units	median_local_r	bootstrap_ci_low	bootstrap_ci_high	positive_units
GSE277116	sample	4	with_DC_core_adjustment	DC_core_above_median	18	0.36677718152353533	0.2659718271093262	0.4172658831615143	17
GSE277116	sample	4	with_DC_core_adjustment	DC_core_above_q75	18	0.3550668416300664	0.2985170814855926	0.47509783664037764	17
GSE277116	sample	4	with_DC_core_adjustment	whole_tissue	18	0.3050088163512329	0.2091451856511847	0.3681886724033596	18
GSE277116	sample	4	without_DC_core_adjustment	DC_core_above_mean	18	0.386538476939818	0.26273537345058673	0.43553566106704233	17
GSE277116	sample	4	without_DC_core_adjustment	DC_core_above_median	18	0.3786637317311471	0.2904539365483604	0.43837691551125924	17
GSE277116	sample	4	without_DC_core_adjustment	DC_core_above_q75	18	0.39794216273900723	0.30410005471428136	0.48948979106509566	17
GSE277116	sample	4	without_DC_core_adjustment	whole_tissue	18	0.33138183797242926	0.24657785110624686	0.4146251031978119	18
GSE277116	sample	6	with_DC_core_adjustment	DC_core_above_mean	18	0.41363346629497855	0.28747885473681545	0.47018967558860414	18
GSE277116	sample	6	with_DC_core_adjustment	DC_core_above_median	18	0.4133402380902099	0.29315783351123037	0.49005216955851816	18
GSE277116	sample	6	with_DC_core_adjustment	DC_core_above_q75	18	0.41889475307285384	0.3216395185484503	0.5320761696902965	17
GSE277116	sample	6	with_DC_core_adjustment	whole_tissue	18	0.3690928323037411	0.25191535345224403	0.43871686938236076	18
GSE277116	sample	6	without_DC_core_adjustment	DC_core_above_mean	18	0.42815123062921656	0.31375279899406994	0.4973779651659654	18
GSE277116	sample	6	without_DC_core_adjustment	DC_core_above_median	18	0.42476392622830955	0.33680567627162855	0.5089700521311158	18
GSE277116	sample	6	without_DC_core_adjustment	DC_core_above_q75	18	0.4530569544858953	0.3315102974602273	0.5550313410689858	17
GSE277116	sample	6	without_DC_core_adjustment	whole_tissue	18	0.38349284057248806	0.2811346109720191	0.4748505801716138	18
GSE277116	sample	12	with_DC_core_adjustment	DC_core_above_mean	18	0.4726507079828985	0.363270565981687	0.5503232512583248	18
GSE277116	sample	12	with_DC_core_adjustment	DC_core_above_median	18	0.4848224911417942	0.369848747773858	0.5699419188287654	18
GSE277116	sample	12	with_DC_core_adjustment	DC_core_above_q75	18	0.5312270236123354	0.3868794092688992	0.6131031112102647	17
GSE277116	sample	12	with_DC_core_adjustment	whole_tissue	18	0.4476898488750202	0.3535909379616253	0.5182923044111316	18
GSE277116	sample	12	without_DC_core_adjustment	DC_core_above_mean	18	0.49570416306210047	0.4110777309646111	0.5912501312750122	18
GSE277116	sample	12	without_DC_core_adjustment	DC_core_above_median	18	0.5121451418407871	0.42328716122468096	0.5870071206953213	18
GSE277116	sample	12	without_DC_core_adjustment	DC_core_above_q75	18	0.5559081060469665	0.4097879024971762	0.6268885154746071	17
GSE277116	sample	12	without_DC_core_adjustment	whole_tissue	18	0.4643229002312351	0.39047503162390323	0.5693930123980795	18
