program	Level 3 Annotation	cells	patients	median_cell_score	cell_score_iqr_low	cell_score_iqr_high	positive_fraction
DC_core	Delta	556	31	-0.043352484703063965	-0.05539354681968689	-0.03071799874305725	0.012589928057553957
DC_core	Dendritic (activated)	91	26	0.2122812569141388	-0.018683984875679016	0.4015672206878662	0.5714285714285714
DC_core	Dendritic (conventional type 1)	181	30	0.6553170680999756	0.4509403705596924	0.956910252571106	0.9060773480662984
DC_core	Dendritic (conventional type 2)	1008	37	0.470624715089798	0.24675869941711426	0.7377901077270508	0.8323412698412699
DC_core	Dendritic (plasmacytoid)	139	19	-0.01649470068514347	-0.03136707469820976	0.23715661466121674	0.4316546762589928
DC_core	Ductal	24627	36	-0.02197978086769581	-0.03224872052669525	-0.011614114046096802	0.037113736955374184
DC_core	Ductal (atypical)	4991	32	-0.02362295426428318	-0.032220952212810516	-0.014697955921292305	0.06752153876978562
DC_core	Epsilon	46	6	-0.023206442594528198	-0.030420862138271332	-0.014961973764002323	0.0
DC_core	Gamma	1716	29	-0.034580036997795105	-0.04577508941292763	-0.020217077806591988	0.006993006993006993
DC_core	Hormone-negative neuroendocrine	1608	20	-0.05124181881546974	-0.05982251092791557	-0.04308714717626572	0.009950248756218905
DC_core	Intra-pancreatic neurons	25	9	-0.0600527748465538	-0.06605201959609985	-0.05229710415005684	0.0
DC_core	Lymphatic	1645	38	-0.03270001709461212	-0.0433163121342659	-0.021354999393224716	0.0668693009118541
DC_core	Macrophage	10140	43	0.0	-0.017884323373436928	0.34718114137649536	0.4911242603550296
DC_core	Malignant	64538	43	-0.026388615369796753	-0.0383637472987175	-0.014422792941331863	0.07516501905853916
DC_core	Mast	281	26	-0.015579522587358952	-0.024679522961378098	-0.008493018336594105	0.060498220640569395
DC_core	Natural killer	927	34	-0.019542794674634933	-0.031675681471824646	-0.008439711295068264	0.10032362459546926
DC_core	Neutrophil	98	15	-0.01166892983019352	-0.020004576072096825	0.0	0.16326530612244897
DC_core	Pericyte	11779	43	-0.020282352343201637	-0.029443878680467606	-0.011564496904611588	0.03845827319806435
DC_core	Plasma	282	28	-0.01986628770828247	-0.03243096172809601	0.23524823784828186	0.36524822695035464
DC_core	Schwann	1824	43	-0.01969301514327526	-0.02990172803401947	-0.00894349254667759	0.09978070175438597
DC_core	Treg	463	28	-0.017664873972535133	-0.027547921985387802	-0.008735362440347672	0.06047516198704104
DC_core	Treg (activated)	266	26	-0.023777153342962265	-0.03422786667943001	-0.013946577906608582	0.08646616541353383
DC_core	Treg (quiescent)	119	14	-0.02364392764866352	-0.031997375190258026	-0.014021825976669788	0.03361344537815126
DC_core	Vascular	15530	43	-0.015528777614235878	-0.02358352765440941	-0.007771768141537905	0.05132002575660013
DC_core	Vascular smooth muscle	4711	20	-0.0242450051009655	-0.03424559533596039	-0.014572673477232456	0.012736149437486733
DC_core	myCAF	10566	36	-0.025319376960396767	-0.035241127014160156	-0.015888143330812454	0.02082150293393905
broad_T	ADM	3233	17	-0.047122955322265625	-0.060024578124284744	-0.033393073827028275	0.014228270955768636
broad_T	Acinar	5171	30	-0.038499657064676285	-0.051016099750995636	-0.025782646611332893	0.006961902920131503
broad_T	Acinar (REG+)	186	10	-0.03621961548924446	-0.04885619133710861	-0.024216514080762863	0.03225806451612903
broad_T	Adipocyte	531	17	-0.028572268784046173	-0.04038555175065994	-0.016506154090166092	0.035781544256120526
broad_T	Alpha	2723	29	-0.03742828592658043	-0.04808621108531952	-0.026184111833572388	0.005141388174807198
broad_T	B	1573	27	-0.014997836202383041	-0.03240073844790459	0.2752855718135834	0.37635092180546725
broad_T	Beta	3152	34	-0.03371693193912506	-0.04702611267566681	-0.02042895369231701	0.010786802030456852
broad_T	CAF	44369	43	-0.02095215767621994	-0.03133533149957657	-0.011377861723303795	0.010863440690572247
broad_T	CD4+ T	1839	28	0.6142953634262085	0.38806891441345215	0.9116348028182983	0.8988580750407831
broad_T	CD8+ T	2526	39	0.4712260961532593	0.0	0.7554569244384766	0.7272367379255741
broad_T	CD8+ T (dysfunctional)	967	26	0.49017077684402466	0.3377731442451477	0.8101609945297241	0.8490175801447777
broad_T	CD8+ T (progenitor dysfunctional)	142	22	0.5189082622528076	0.3319647014141083	0.7731947302818298	0.8943661971830986
broad_T	CD8+ T (terminally dysfunctional)	419	28	0.6257966756820679	0.37393271923065186	0.8616551160812378	0.9307875894988067
broad_T	Delta	556	31	-0.04750466346740723	-0.059908851981163025	-0.03471354395151138	0.007194244604316547
broad_T	Dendritic (activated)	91	26	-0.022979239001870155	-0.03128325939178467	-0.013028580695390701	0.10989010989010989
broad_T	Dendritic (conventional type 1)	181	30	-0.033730991184711456	-0.04571185261011124	-0.020807502791285515	0.10497237569060773
broad_T	Dendritic (conventional type 2)	1008	37	-0.02269565500319004	-0.033296242356300354	-0.011535227298736572	0.07043650793650794
broad_T	Dendritic (plasmacytoid)	139	19	-0.018499458208680153	-0.03278045728802681	0.15175119042396545	0.28776978417266186
broad_T	Ductal	24627	36	-0.027105646207928658	-0.03819652646780014	-0.01616998389363289	0.005441182442035165
broad_T	Ductal (atypical)	4991	32	-0.03407527878880501	-0.043949514627456665	-0.025048092007637024	0.006010819475055099
broad_T	Epsilon	46	6	-0.020208049565553665	-0.030194304883480072	-0.007528475020080805	0.043478260869565216
broad_T	Gamma	1716	29	-0.029477078467607498	-0.03990835323929787	-0.018764987587928772	0.019813519813519812
